Name,Personal_CIK,Company_CIK,Bio,Link,StockTicker,shares,SharePrice
None_Name62,None_CIK62,1070050,"Ms. Huang is the Founder and CEO of Dandelion Global, LLC (2003 - present),Co-Founder/CEO of Athena Music and Wellness Therapy, Inc. (2019 - present), Member of the Board of Directors of the Alzheimer’sAssociation Orange County (2018 present), member of the Advisory Board of Directors of IntivaHealth Corporation (2018- present),member of the Advisory Board of Directors of the University of California, Irvine, Paul Merage School of Business, Beal Center of Innovationand Entrepreneurship (2020 - present), and Chairwoman of International Music and Wellness Council ( 2019 - present). ",https://www.sec.gov/Archives/edgar/data/1070050/000168316824002325/apptech_idef14a.htm,non_ticker,0.0,non_stock_price
None_Name63,None_CIK63,1070050,"Ms. Huang is the Founder and CEO of Dandelion Global,LLC (2003 - present), Co-Founder/CEO of Athena Music and Wellness Therapy, Inc. (2019 - present), Member of the Board of Directorsof the Alzheimer’s Association Orange County (2018 present), member of the Advisory Board of Directors of IntivaHealthCorporation (2018- present), member of the Advisory Board of Directors of the University of California, Irvine, Paul Merage Schoolof Business, Beal Center of Innovation and Entrepreneurship (2020 - present), and Chairwoman of International Music and WellnessCouncil ( 2019 - present). ",https://www.sec.gov/Archives/edgar/data/1070050/000190359623000206/apcx_def14a.htm,non_ticker,0.0,non_stock_price
Boyd Bradley L,1999787,1069258,"Colonel Boyd holds a master’s degree in International Politics from Cambridge, a master’s degree in Strategic Cyber Operations from the Army’s Command and General Staff College, and a bachelor’s degree in Anthropology from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1069258/000106925824000026/kratosdef14a041124.htm,KTOS,3280.0,21.74
None_Name64,None_CIK64,1870404,,https://www.sec.gov/Archives/edgar/data/1870404/000121390024032997/ea0203708-def14a_cerothera.htm,non_ticker,0.0,non_stock_price
Archambault Matthew Andrew,1940063,1418135,"He received a BA degree from Johns Hopkins University, an MA degree in Comparative Literature from the University of California, Irvine and graduated from New York University with an MS in Accounting.",https://www.sec.gov/Archives/edgar/data/1418135/000119312523127023/d410624ddef14a.htm,KDP,12565.0,34.19
None_Name65,None_CIK65,1418135,"Mr. Singer holds a bachelor’s degree from Johns Hopkins University, a master’s degree from the University of California, Irvine, and a master’s degree in Accounting from New York University.     ",https://www.sec.gov/Archives/edgar/data/1418135/000119312524118204/d469486ddef14a.htm,non_ticker,0.0,non_stock_price
Wilkins Joseph D Jr.,1848760,1906324,"Mr. Wilkins is also a founding director at Black Directors Health Equity Agenda (BDHEA), a Six Sigma Certified practitioner and holds corporate governance certifications from both University of California, Irvine and University of Southern California.",https://www.sec.gov/Archives/edgar/data/1906324/000190632423000020/qdel-20230405.htm,QDEL,6577.0,43.71
None_Name66,None_CIK66,1389050,,https://www.sec.gov/Archives/edgar/data/1389050/000114036123011838/ny20006387x1_def14a.htm,non_ticker,0.0,non_stock_price
None_Name67,None_CIK67,1389050,,https://www.sec.gov/Archives/edgar/data/1389050/000114036124012859/ny20012025x1_def14a.htm,non_ticker,0.0,non_stock_price
None_Name68,None_CIK68,1671933,,https://www.sec.gov/Archives/edgar/data/1671933/000167193323000016/ttd-20230412.htm,non_ticker,0.0,non_stock_price
None_Name69,None_CIK69,1671933,,https://www.sec.gov/Archives/edgar/data/1671933/000167193324000037/ttd-20240412.htm,non_ticker,0.0,non_stock_price
None_Name70,None_CIK70,1779474,,https://www.sec.gov/Archives/edgar/data/1779474/000114036123020964/ny20008139x1_def14a.htm,non_ticker,0.0,non_stock_price
None_Name71,None_CIK71,766829,,https://www.sec.gov/Archives/edgar/data/766829/000076682924000043/sjw-20240426.htm,non_ticker,0.0,non_stock_price
Sandoval Elisabeth,1632295,1566044,"She holds an MBA from Pepperdine University and a B.S. in biology from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1566044/000110465923117180/tm2330482-1_def14a.htm,VYNE,11023.0,2.38
None_Name72,None_CIK72,1792580,,https://www.sec.gov/Archives/edgar/data/1792580/000119312524073766/d581659ddef14a.htm,non_ticker,0.0,non_stock_price
None_Name73,None_CIK73,1792580,,https://www.sec.gov/Archives/edgar/data/1792580/000119312523077854/d386177ddef14a.htm,non_ticker,0.0,non_stock_price
Kumar Rashmi,1824720,899923,"She also holds an MBA from the University of California, Irvine; Paul Merage School of Business.",https://www.sec.gov/Archives/edgar/data/899923/000089992324000022/mygn-20240417.htm,MYGN,84892.0,22.14
None_Name74,None_CIK74,1368265,"Mr. Pratt earned a B.S. from the California State University at Northridge and an M.B.A. from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1368265/000110465923041888/tm231969d2_def14a.htm,non_ticker,0.0,non_stock_price
Lee Sung,1793200,1706431,"Mr. Lee received a B.A. from the University of California, Irvine and an M.B.T. from the University of Southern California.12Table of ContentsPhillip Pang, M.D., Ph.D., 48, has served as our Chief Medical Officer since December 2018, our Executive Vice President since December 2021 and our Interim Head of Research since August 2022.",https://www.sec.gov/Archives/edgar/data/1706431/000119312523095213/d466768ddef14a.htm,VIR,34684.0,10.63
None_Name75,None_CIK75,1605941,"He has a bachelor’s degree in economics from the University of California, Irvine and anMBA in finance and accounting from the University of Chicago Booth School of Business.",https://www.sec.gov/Archives/edgar/data/1605941/000119312523222789/d609075ddef14a.htm,non_ticker,0.0,non_stock_price
None_Name76,None_CIK76,45012,,https://www.sec.gov/Archives/edgar/data/45012/000130817923000504/lhal2023_def14a.pdf,non_ticker,0.0,non_stock_price
None_Name77,None_CIK77,45012,,https://www.sec.gov/Archives/edgar/data/45012/000130817924000414/lhal2024_def14a.pdf,non_ticker,0.0,non_stock_price
None_Name78,None_CIK78,45012,,https://www.sec.gov/Archives/edgar/data/45012/000130817923000504/hal-20221231.htm,non_ticker,0.0,non_stock_price
Al Khayyal Abdulaziz Fahd,1627197,45012,"In addition to his 33-year career at Saudi Aramco, Mr. Al Khayyal attended University of California, Irvine,where he received his Bachelor of Science degree in mechanical engineering and an MBA.",https://www.sec.gov/Archives/edgar/data/45012/000130817924000414/lhal2024_def14a.htm,HAL,22063.948,40.64
None_Name79,None_CIK79,866706,,https://www.sec.gov/Archives/edgar/data/866706/000110465923127180/tm2324166d3_def14a.htm,non_ticker,0.0,non_stock_price
None_Name80,None_CIK80,1331875,,https://www.sec.gov/Archives/edgar/data/1331875/000110465923051332/tm231872d1_def14a.htm,non_ticker,0.0,non_stock_price
None_Name81,None_CIK81,1331875,,https://www.sec.gov/Archives/edgar/data/1331875/000110465924052364/tm242704d5_def14a.htm,non_ticker,0.0,non_stock_price
None_Name82,None_CIK82,1856485,"Mr. Petratis has served as a member of the University of Northern Iowa Business Executive Advisory Board and various private boards and advisory groups, the University of California Irvine Graduate School of Management, the California State (Fullerton) Quality Advisory Board, Project Independence (a community agency in Costa Mesa, California, for the developmentally disabled), the National Electrical Manufacturers Association (NEMA) and the International Electrical Safety Foundation.   ",https://www.sec.gov/Archives/edgar/data/1856485/000119312524087937/d510108ddef14a.htm,non_ticker,0.0,non_stock_price
None_Name83,None_CIK83,1856485,"Mr. Petratis has served as a member of the University of Northern Iowa Business Executive Advisory Board and various private boards and advisory groups, the University of California Irvine Graduate School of Management, the California State (Fullerton) Quality Advisory Board, Project Independence (a community agency in Costa Mesa, California, for the developmentally disabled),the National Electrical Manufacturers Association (NEMA) and the International Electrical Safety Foundation.   ",https://www.sec.gov/Archives/edgar/data/1856485/000119312523091198/d334746ddef14a.htm,non_ticker,0.0,non_stock_price
None_Name84,None_CIK84,1576280,"Dr. Chudova holds a Ph.D. in Computer Science from the University of California, Irvine.  Craig Eagle, M.D. Dr. Eagle has served as our Chief Medical Officer since April 2021.",https://www.sec.gov/Archives/edgar/data/1576280/000119312524113951/d630233ddef14a.htm,non_ticker,0.0,non_stock_price
LEYDEN TIMOTHY M,1398362,780571,"Mr. Leyden also serves on the Dean’s Advisory Board at the University of California Irvine’s Paul Merage School of Business.​​​​​​​​Qualifications: Mr. Leydenbrings to the Board a mix of financial and operational experience (in both hardware and software industries), in addition to a background that includes mergers and acquisitions and integration experience related to the assimilation ofacquired companies into both WDC and Sage Software.",https://www.sec.gov/Archives/edgar/data/780571/000114036123012718/ny20005713x1_def14a.htm,ITRI,14378.0,90.07
None_Name85,None_CIK85,320335,"She is a Trustee of Reed College, Portland, Oregon and the University of California Irvine Foundation.",https://www.sec.gov/Archives/edgar/data/320335/000032033523000014/gl-20230315.htm,non_ticker,0.0,non_stock_price
None_Name86,None_CIK86,1651561,"Veterans Administration•Served in varied assignments​​​Education•Board Certified Pharmacist​•Currently completing the Executive Master of Health Administration Program, the University of Southern California Sol Price School of Public Policy​•Completed an Ambulatory Care/​Administrative residency, University of California Irvine Medical Center​•Doctor of Pharmacy, the University of California San Francisco School of Pharmacy​•Bachelor of Science in Biological Sciences, California State University Fullerton​QualificationsThe Board believes that RADM Schweitzer’s extensive leadership experience in public service and expertise in pharmacy programs make her a valuable member of our Board.",https://www.sec.gov/Archives/edgar/data/1651561/000110465923052070/tm231876d7_def14a.htm,non_ticker,0.0,non_stock_price
TAYLOR RONALD R,1161920,943819,"Mr. Taylor has a Bachelor of Arts from the University of Saskatchewan and a Master of Arts from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/943819/000094381923000019/rmd-20231005.htm,RMD,22615.0,150.49
schiller Thomas,1865418,1841925,"He earned a Masters of Business Administration from the University of Southern California with specialization in Entrepreneurship and Finance, and holds a Bachelor of Arts in Social Sciences with emphasis in Economics and Political Science from the University of California, Irvine.",https://www.sec.gov/Archives/edgar/data/1841925/000162828023016166/a2023indiesemiconductordef.htm,INDI,1049282.0,7.54
